Unnamed: 0.1,Unnamed: 0,Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.
0.0,0.0,1,1.13,2.498,1.205,1.098,1.1,1.118,2024-11-14 14:05:07.649958,1
1.0,1.0,2,1.087,1.167,1.076,1.101,1.099,1.071,2024-11-14 14:05:07.649958,1
2.0,2.0,3,3.229,3.149,3.36,3.196,3.15,3.209,2024-11-14 14:05:07.649958,1
3.0,3.0,4,1.08,1.209,1.109,1.066,1.074,1.072,2024-11-14 14:05:07.649958,1
4.0,4.0,5,1.094,1.129,1.111,1.094,1.061,1.109,2024-11-14 14:05:07.649958,1
5.0,,1,1.172,2.637,1.233,1.18,1.12,1.153,2024-11-14 14:07:36.111500,2
6.0,,2,1.083,1.154,1.07,1.112,1.089,1.062,2024-11-14 14:07:36.111500,2
7.0,,3,3.171,3.309,3.231,3.177,3.143,3.134,2024-11-14 14:07:36.111500,2
8.0,,4,1.082,1.197,1.076,1.093,1.065,1.091,2024-11-14 14:07:36.111500,2
9.0,,5,1.102,1.117,1.074,1.093,1.143,1.1,2024-11-14 14:07:36.111500,2
,,4,0.0,0.093,,,,,2024-11-17 08:35:11.483156,3
,,4,0.0,0.052,,,,,2024-11-17 08:40:44.852192,4
,,4,0.0,0.056,,,,,2024-11-17 08:43:12.566824,5
,,1,0.0,0.972,,,,,2024-11-17 08:52:59.231750,6
,,1,0.0,0.965,,,,,2024-11-17 08:53:44.546210,7
,,1,0.0,0.706,,,,,2024-11-17 09:11:16.399437,8
,,2,-0.8674829099996714,0.417,0.182,0.184,0.148,0.148,2024-11-17 10:09:40.115557,11
,,3,-0.3822143363999203,0.979,0.783,0.775,0.77,0.761,2024-11-17 10:10:01.787682,12
,,4,-0.9762646882005356,0.077,0.029,0.028,0.031,0.03,2024-11-17 10:10:12.244812,13
,,5,-0.2592515971999092,1.064,0.927,0.944,0.913,0.919,2024-11-17 10:10:22.625073,14
,,1,-0.5721555185999023,0.77,0.554,0.567,0.528,0.489,2024-11-17 10:10:46.375215,15
,,2,-0.8747487547996571,0.604,0.169,0.169,0.145,0.144,2024-11-17 10:10:46.375215,15
,,3,-0.3739218302001973,0.795,0.783,0.789,0.782,0.777,2024-11-17 10:10:46.375215,15
,,4,-0.9745041163998394,0.039,0.027,0.027,0.04,0.033,2024-11-17 10:10:46.375215,15
,,5,-0.2364536651999514,1.006,0.975,0.959,0.956,0.927,2024-11-17 10:10:46.375215,15
,,1,0.5642359462499371,0.835,0.541,0.628,0.561,0.527,2024-11-17 10:26:29.075958,16
,,2,0.1651290517484085,0.598,0.17,0.155,0.176,0.159,2024-11-17 10:26:29.075958,16
,,3,0.8203596262501378,0.819,0.792,0.848,0.843,0.798,2024-11-17 10:26:29.075958,16
,,4,0.0274454195005091,0.025,0.025,0.029,0.027,0.029,2024-11-17 10:26:29.075958,16
,,5,1.0157133747488842,1.009,0.976,1.024,1.003,1.06,2024-11-17 10:26:29.075958,16
,,5,0.972223182000107,1.108,0.972,,,,2024-11-18 05:13:05.119313,17
,,1,0.5326690852498359,0.771,0.588,0.516,0.521,0.506,2024-11-18 06:54:31.090729,18
,,2,0.16558824224966884,0.973,0.19,0.175,0.146,0.15,2024-11-18 06:54:31.090729,18
,,3,0.7629788445001395,0.835,0.816,0.739,0.746,0.752,2024-11-18 06:54:31.090729,18
,,4,0.02941160025056888,0.027,0.028,0.027,0.03,0.032,2024-11-18 06:54:31.090729,18
,,5,0.9584853749997819,1.061,0.964,0.902,0.994,0.974,2024-11-18 06:54:31.090729,18
